Month,#Passengers
2008-01,112
2008-02,118
2008-03,132
2008-04,129
2008-05,121
2008-06,135
2008-07,148
2008-08,148
2008-09,136
2008-10,119
2008-11,104
2008-12,118
2009-01,115
2009-02,126
2009-03,141
2009-04,135
2009-05,125
2009-06,149
2009-07,170
2009-08,170
2009-09,158
2009-10,133
2009-11,114
2009-12,140
2010-01,145
2010-02,150
2010-03,178
2010-04,163
2010-05,172
2010-06,178
2010-07,199
2010-08,199
2010-09,184
2010-10,162
2010-11,146
2010-12,166
2011-01,171
2011-02,180
2011-03,193
2011-04,181
2011-05,183
2011-06,218
2011-07,230
2011-08,242
2011-09,209
2011-10,191
2011-11,172
2011-12,194
2012-01,196
2012-02,196
2012-03,236
2012-04,235
2012-05,229
2012-06,243
2012-07,264
2012-08,272
2012-09,237
2012-10,211
2012-11,180
2012-12,201
2013-01,204
2013-02,188
2013-03,235
2013-04,227
2013-05,234
2013-06,264
2013-07,302
2013-08,293
2013-09,259
2013-10,229
2013-11,203
2013-12,229
2014-01,242
2014-02,233
2014-03,267
2014-04,269
2014-05,270
2014-06,315
2014-07,364
2014-08,347
2014-09,312
2014-10,274
2014-11,237
2014-12,278
2015-01,284
2015-02,277
2015-03,317
2015-04,313
2015-05,318
2015-06,374
2015-07,413
2015-08,405
2015-09,355
2015-10,306
2015-11,271
2015-12,306
2016-01,315
2016-02,301
2016-03,356
2016-04,348
2016-05,355
2016-06,422
2016-07,465
2016-08,467
2016-09,404
2016-10,347
2016-11,305
2016-12,336
2017-01,340
2017-02,318
2017-03,362
2017-04,348
2017-05,363
2017-06,435
2017-07,491
2017-08,505
2017-09,404
2017-10,359
2017-11,310
2017-12,337
2018-01,360
2018-02,342
2018-03,406
2018-04,396
2018-05,420
2018-06,472
2018-07,548
2018-08,559
2018-09,463
2018-10,407
2018-11,362
2018-12,405
