class,cap-shape,cap-surface,cap-color,bruises,odor,gill-attachment,gill-spacing,gill-size,gill-color,stalk-shape,stalk-root,stalk-surface-above-ring,stalk-surface-below-ring,stalk-color-above-ring,stalk-color-below-ring,veil-type,veil-color,ring-number,ring-type,spore-print-color,population,habitat
p,s,f,g,t,p,f,d,n,k,e,e,s,s,c,c,p,w,t,p,k,n,u
e,x,g,y,t,a,d,c,b,k,e,c,y,y,e,e,p,w,o,p,u,a,p
e,k,s,n,t,l,f,w,b,n,t,c,s,k,b,b,p,w,o,p,n,v,g
p,b,y,w,t,y,f,c,n,e,t,e,s,k,w,g,p,w,b,n,k,s,u
e,b,s,g,f,n,n,c,b,o,t,b,s,s,w,e,p,w,b,z,w,a,g
e,k,s,y,f,a,f,w,n,n,t,z,s,s,b,b,p,w,o,p,k,n,p
e,f,f,w,t,a,a,c,b,g,e,c,s,f,w,w,p,w,o,p,w,n,m
e,b,y,w,t,l,f,c,b,r,t,c,s,s,y,y,u,w,t,p,y,y,w
p,s,y,y,f,p,f,d,n,b,t,u,s,s,w,w,p,y,t,p,b,v,w
e,b,s,y,t,a,d,c,b,g,e,c,y,y,w,o,p,w,o,p,k,s,g
e,x,s,r,t,l,n,d,n,b,e,u,s,s,w,w,u,y,o,s,b,n,g
e,c,g,y,t,p,d,w,b,n,e,c,y,y,w,w,p,w,o,f,w,s,g
e,b,g,c,t,a,f,c,b,k,e,b,y,s,n,w,p,o,o,f,n,a,d
p,x,g,w,t,c,f,d,n,r,e,r,y,y,w,c,p,o,o,p,b,v,g
e,s,f,e,t,m,a,w,b,n,e,r,f,f,p,w,p,w,t,e,k,a,g
e,s,g,r,t,n,d,w,n,k,e,z,s,y,o,o,p,o,o,l,n,v,p
e,f,f,w,t,y,a,w,b,k,e,e,f,f,g,g,p,n,o,e,n,s,g
p,x,f,n,t,p,f,c,b,p,e,c,s,f,b,w,p,w,o,e,k,c,g
p,b,y,w,f,y,n,c,n,n,t,b,s,s,g,g,p,w,b,s,h,s,g
p,s,g,y,t,m,d,c,n,h,e,e,s,s,w,w,p,w,b,p,u,s,w
e,c,s,p,f,a,n,w,n,p,t,c,s,s,w,w,u,w,o,s,n,c,m
p,x,y,g,t,y,d,c,n,h,e,e,y,y,w,g,p,o,o,l,n,s,d
e,c,y,y,t,l,d,w,b,p,e,c,y,s,b,w,p,w,b,p,u,s,d
e,b,y,w,t,a,a,w,b,w,e,z,s,f,w,w,p,n,o,p,r,v,d
e,b,s,w,f,l,f,c,b,o,t,b,s,s,g,g,u,w,o,n,k,a,l
p,f,g,r,t,c,d,d,n,b,e,e,y,y,c,w,p,w,t,f,n,n,w
e,f,y,e,t,a,a,c,b,n,e,e,f,s,n,w,p,n,o,p,k,s,g
e,k,y,u,t,l,f,w,b,w,e,c,y,s,b,w,p,o,o,p,n,v,m
e,b,s,r,f,n,f,c,n,k,t,e,s,s,e,w,p,y,o,p,k,a,u
e,f,s,y,t,a,f,c,n,h,t,e,k,s,g,g,p,w,o,p,w,v,l
e,b,s,p,t,l,f,c,b,g,e,r,k,k,c,w,p,w,t,n,n,y,p
p,x,y,w,t,c,f,d,b,u,e,u,s,y,g,g,p,w,o,p,n,s,l
e,k,y,r,t,f,f,w,b,w,e,z,s,y,o,w,p,w,o,f,r,v,u
e,f,y,e,t,l,f,c,b,e,e,r,f,f,w,w,p,w,o,p,n,s,p
e,b,g,n,t,l,f,c,b,n,e,b,s,s,n,n,p,o,b,l,n,a,m
e,x,s,c,f,l,f,d,n,u,t,u,s,s,y,y,p,w,t,p,y,n,u
e,s,f,g,f,n,a,c,b,k,e,e,f,f,w,g,p,n,b,p,k,a,u
p,s,s,n,t,p,f,d,n,y,t,r,s,s,c,w,u,w,t,p,n,s,u
e,x,g,b,t,y,d,c,n,e,t,b,y,s,g,g,p,o,b,p,h,s,u
e,f,s,y,f,l,f,c,n,k,e,c,s,s,w,w,p,y,b,p,k,s,l
e,x,f,c,t,a,f,d,b,u,e,u,s,f,c,w,p,n,t,c,n,n,u
e,x,y,y,f,l,n,c,b,h,e,e,s,y,w,n,u,y,o,p,k,y,p
e,x,f,n,f,n,d,d,b,r,e,e,y,y,y,w,p,w,t,f,k,y,d
p,x,g,y,t,p,d,w,b,p,e,c,y,y,w,w,p,o,o,f,w,v,d
e,x,s,n,t,f,n,w,b,g,e,z,s,s,o,w,u,w,o,z,r,n,u
e,x,s,u,f,y,n,c,b,k,e,b,s,s,g,w,u,y,b,p,h,n,p
e,x,f,y,t,l,a,c,b,k,e,e,f,f,w,n,p,n,o,p,k,s,m
e,k,s,u,f,p,f,c,n,g,t,z,s,s,w,w,u,w,o,z,n,s,g
e,b,y,y,f,l,f,c,b,o,e,b,s,k,e,w,p,w,o,p,u,s,p
e,f,y,y,f,l,f,c,n,h,t,e,s,s,w,e,u,y,o,z,k,s,u
e,x,s,n,f,a,f,c,n,w,e,b,s,y,w,n,p,w,b,p,k,a,g
e,s,s,e,f,c,f,d,b,y,e,r,s,s,c,c,u,w,o,n,k,s,u
e,b,s,w,t,l,f,c,b,o,t,c,k,s,w,n,u,w,b,n,k,n,m
p,x,y,u,t,f,f,c,n,k,e,e,y,s,o,w,p,o,o,p,n,s,u
p,s,y,e,t,s,f,d,n,r,t,e,k,s,w,w,p,w,t,p,y,v,u
e,c,f,e,t,p,f,w,b,w,e,c,f,f,w,w,p,w,o,e,k,s,m
e,f,s,p,f,n,f,c,n,n,t,e,s,s,g,w,p,y,b,s,h,a,d
e,b,s,w,t,l,f,w,b,w,e,c,s,s,b,w,p,w,o,e,n,n,u
e,x,s,y,t,s,f,d,b,r,t,r,s,s,y,y,u,y,t,s,y,y,g
e,x,y,n,t,n,d,c,b,p,e,b,s,y,e,w,p,w,b,l,u,a,u
e,k,f,g,t,s,d,d,b,u,e,e,y,y,y,y,p,w,t,l,n,v,d
e,b,f,y,t,a,a,c,b,h,e,e,f,f,e,e,p,n,b,p,u,s,g
e,b,s,n,t,l,f,w,n,g,t,c,s,s,b,b,u,y,o,s,n,s,g
e,b,y,y,t,a,f,c,n,g,e,e,k,k,w,n,p,w,b,p,n,s,m
e,c,g,y,t,l,f,c,b,p,e,c,s,s,b,w,p,w,o,f,n,s,g
e,f,s,g,f,n,n,c,n,k,t,e,s,s,e,e,p,w,o,z,u,s,p
e,x,s,w,t,l,f,c,b,n,e,b,k,k,n,n,u,w,o,n,k,s,g
e,k,y,y,f,p,f,c,n,w,e,z,s,k,w,w,u,w,o,n,n,v,d
e,c,y,y,t,a,f,c,n,n,e,c,k,s,w,w,u,w,o,p,r,c,w
e,f,f,e,t,y,d,c,b,p,e,e,s,s,g,w,p,o,o,l,n,s,u
e,x,f,w,t,l,f,d,n,b,t,u,s,k,w,y,u,w,o,p,y,n,d
e,b,g,c,t,m,d,d,b,g,e,u,y,s,w,p,p,o,o,f,o,n,w
e,f,f,y,t,n,f,c,n,w,t,b,s,s,e,w,p,y,b,s,n,v,u
e,x,y,u,t,y,f,c,b,k,e,b,f,f,g,g,p,n,o,c,h,a,l
e,x,g,n,t,m,f,c,b,b,e,u,s,s,p,w,p,o,t,p,k,s,g
e,f,s,y,t,l,f,c,b,p,e,b,y,s,n,n,p,o,o,l,k,v,u
e,b,s,n,t,n,a,c,n,o,e,b,s,f,e,e,p,w,b,c,u,a,d
e,f,s,n,f,p,n,c,n,p,t,c,s,y,w,w,u,y,o,z,n,c,l
p,k,y,r,t,p,d,c,n,w,e,z,y,s,b,b,p,o,o,p,n,v,l
e,f,y,b,t,y,a,c,b,n,e,e,f,f,w,g,p,w,b,p,n,y,g
e,x,y,n,f,n,f,c,n,k,t,e,f,s,e,w,u,w,o,e,u,s,g
p,x,f,c,t,a,a,c,n,o,e,b,s,s,w,n,p,n,b,e,k,a,g
e,f,f,b,f,n,f,c,n,k,e,b,y,s,g,g,p,w,o,l,h,y,p
e,c,f,p,f,n,d,w,b,n,e,c,s,y,w,w,p,o,o,e,w,s,g
e,x,y,y,t,m,f,d,b,b,e,u,s,y,p,w,p,w,o,p,k,s,d
e,k,s,w,t,f,d,w,b,k,e,e,s,s,w,o,p,w,o,l,r,v,w
e,b,s,e,f,a,f,c,b,w,e,c,s,k,w,n,p,w,o,p,k,s,u
e,c,f,w,t,p,a,w,b,n,e,c,f,s,w,w,p,w,o,e,w,c,d
e,f,s,e,f,m,f,d,n,w,e,r,s,y,p,p,u,y,t,z,k,y,g
e,b,f,c,f,a,d,c,b,n,e,b,y,s,w,w,p,o,o,l,y,n,u
e,b,g,n,f,y,f,c,n,n,e,b,y,s,g,g,p,w,o,f,h,y,g
e,b,s,w,t,l,f,c,b,k,e,c,f,f,g,w,p,n,b,p,h,a,g
e,x,y,y,f,a,n,d,b,g,t,u,s,s,c,w,p,y,o,p,k,s,d
e,k,f,y,t,l,f,c,b,g,e,c,s,f,b,w,p,n,o,p,n,v,m
e,x,s,y,f,c,n,d,n,y,t,e,s,s,w,w,p,w,t,z,b,y,g
e,x,s,e,t,l,d,w,b,g,e,c,y,y,b,b,p,o,o,p,n,c,w
e,s,y,p,f,l,f,d,n,p,e,r,k,k,w,w,u,w,t,n,n,s,l
e,s,s,b,f,a,f,c,n,n,t,r,s,s,w,w,p,w,o,p,k,y,g
e,k,f,w,t,a,a,c,b,u,e,u,s,f,p,p,p,n,t,e,n,s,w
e,k,y,c,f,p,f,c,n,w,t,z,s,s,w,w,u,w,o,z,k,v,u
e,x,s,n,f,n,n,w,n,p,t,e,f,s,y,w,u,w,o,z,k,n,d
e,b,y,n,f,a,f,c,n,k,t,b,k,k,n,w,u,w,b,n,k,a,p
e,k,y,y,t,l,a,c,b,w,e,r,f,y,w,w,p,n,o,c,n,v,g
e,c,y,b,f,l,f,w,n,n,e,c,k,y,b,w,u,w,o,p,n,y,u
e,c,y,w,f,l,f,d,n,y,e,c,s,s,w,w,p,y,o,p,n,y,l
e,x,y,y,t,a,a,c,b,n,e,c,f,s,w,o,p,n,o,e,r,n,m
e,x,y,y,t,a,f,c,n,g,e,r,s,s,w,w,u,y,o,z,n,v,g
e,b,y,w,t,l,f,c,b,n,e,c,s,s,e,w,u,w,b,p,k,a,m
e,b,s,n,f,n,n,c,n,g,e,c,s,s,w,e,p,w,b,z,n,s,m
e,x,y,y,f,s,f,d,n,k,t,u,s,k,w,y,u,w,o,p,y,n,p
e,x,s,p,t,l,n,c,n,k,e,b,s,s,w,w,u,y,b,s,k,a,p
e,s,f,g,f,y,f,c,n,g,e,e,f,s,w,w,p,n,b,p,k,y,w
e,b,f,u,t,n,n,c,n,w,t,b,s,s,w,e,u,y,o,z,u,v,d
e,b,s,u,t,a,a,c,b,n,e,c,f,f,w,w,p,n,b,e,u,a,w
p,x,y,w,t,c,a,d,b,b,e,u,s,f,w,c,p,w,o,p,n,n,l
e,c,y,y,t,p,f,w,b,n,e,r,k,k,w,w,u,w,o,n,n,s,g
e,x,f,g,f,s,f,d,b,p,e,u,s,y,y,w,p,w,t,l,w,c,l
e,f,s,y,f,n,f,c,n,h,t,e,s,s,e,w,u,y,o,z,u,y,d
e,x,f,r,t,l,f,d,b,u,e,b,s,s,y,y,p,n,t,p,u,n,g
e,s,f,b,f,c,a,c,b,y,e,e,f,s,c,c,p,n,o,e,n,y,u
p,x,s,w,t,p,f,c,n,k,e,u,s,f,w,y,p,n,t,e,k,v,g
e,k,s,w,f,a,f,w,n,g,e,c,s,s,w,w,u,y,o,s,n,v,m
p,f,y,n,f,p,f,c,n,h,e,e,s,s,g,g,p,w,o,n,h,v,g
e,f,y,g,f,n,f,w,b,w,t,e,k,k,w,w,p,w,o,e,w,a,p
e,x,s,w,t,m,f,d,b,u,e,u,f,s,p,p,p,w,t,p,n,n,m
e,c,s,y,f,n,n,w,b,n,t,e,s,s,w,w,p,w,o,e,w,c,g
e,k,s,c,f,l,f,c,n,g,e,c,s,s,b,w,u,y,o,p,n,v,g
e,f,y,g,f,s,f,w,b,b,t,u,k,s,y,y,p,w,t,p,n,a,g
e,x,y,w,f,s,f,c,n,u,t,c,s,k,y,y,u,w,t,p,y,n,w
e,b,s,w,t,c,f,c,n,u,t,u,s,s,c,c,u,w,t,p,b,n,u
e,b,s,y,t,m,a,d,b,w,e,c,f,f,p,p,p,n,t,c,n,s,g
e,b,y,u,t,l,a,c,b,k,e,b,s,s,g,g,p,w,b,p,n,a,d
e,f,s,p,t,l,d,w,n,p,e,c,y,y,w,b,p,w,o,p,u,c,l
e,x,y,r,t,c,a,d,b,g,e,u,f,f,w,c,p,w,t,c,b,n,u
e,s,s,w,t,a,f,d,n,y,t,b,s,y,w,w,p,w,o,p,n,c,d
p,x,f,w,t,p,f,c,b,p,e,e,f,f,o,o,p,w,o,c,r,v,u
e,k,f,w,f,l,f,w,n,w,t,z,k,k,b,w,p,w,o,p,n,v,d
e,x,g,b,t,l,d,c,b,p,e,c,y,y,w,b,p,o,o,p,n,s,g
p,x,s,n,t,p,a,c,n,b,e,u,s,s,y,w,p,w,t,e,y,n,w
e,x,g,y,t,l,d,c,b,u,e,c,s,y,y,y,p,o,t,l,n,n,g
e,x,y,g,t,f,f,c,n,w,e,r,k,y,o,o,p,w,o,n,r,c,p
e,f,y,y,f,l,f,c,b,e,t,c,s,s,n,w,p,w,o,n,k,s,m
e,s,g,n,t,c,d,c,b,k,e,e,s,y,w,c,p,o,t,l,n,v,d
e,f,g,b,t,a,f,c,b,h,e,e,s,y,e,w,p,o,b,f,k,s,p
e,f,y,y,t,a,n,c,b,k,e,c,s,s,w,w,u,y,b,p,k,n,d
e,c,f,g,f,p,f,w,b,n,t,c,y,y,w,w,p,w,o,e,w,c,g
e,f,y,b,f,y,f,w,b,k,t,e,k,f,g,g,p,w,b,e,n,a,u
e,x,s,u,f,y,f,c,n,w,t,c,s,s,w,e,p,y,b,s,u,n,d
e,b,s,p,f,m,f,c,n,y,e,c,s,s,p,w,u,y,o,s,k,y,w
e,b,g,e,t,a,f,c,b,g,e,c,y,y,n,w,p,o,b,f,k,n,m
e,k,y,n,t,l,f,w,b,w,e,z,s,s,w,w,p,w,o,p,n,v,g
e,c,s,n,t,n,d,w,b,n,t,c,f,y,b,w,p,w,o,l,n,c,p
e,x,f,w,t,l,a,d,b,r,e,c,f,s,c,c,p,n,t,c,n,y,p
e,x,f,n,f,s,f,d,b,b,e,e,f,s,y,w,p,w,o,c,y,v,u
e,k,s,u,t,p,d,w,b,g,e,z,y,s,w,w,p,w,o,p,w,v,d
e,x,g,u,t,y,d,c,b,k,e,b,s,y,g,w,p,o,b,f,k,a,m
e,b,g,y,t,f,d,w,b,p,e,c,s,s,w,o,p,o,o,p,r,n,g
e,x,y,e,t,c,d,d,b,k,e,r,s,y,c,c,p,w,t,p,b,y,g
e,s,y,b,t,s,d,d,b,r,e,r,y,s,y,w,p,w,t,l,y,y,m
e,f,g,e,t,n,d,c,b,e,e,c,y,y,e,w,p,w,b,p,k,s,g
e,b,f,y,t,l,a,c,b,g,e,c,f,f,n,n,p,w,o,e,k,a,g
e,c,y,e,f,l,f,w,b,n,t,e,s,s,n,w,p,n,o,p,k,n,p
e,x,f,n,f,n,f,c,b,u,e,e,s,s,w,w,p,w,o,l,n,n,u
e,f,y,p,t,p,f,w,b,n,e,r,s,y,w,w,p,w,o,f,w,c,g
e,x,y,w,t,m,f,d,n,u,e,c,s,k,p,p,p,w,o,n,o,s,p
e,f,y,y,t,l,f,c,b,o,e,r,y,y,g,w,p,w,o,p,h,a,p
e,s,s,e,f,c,f,d,b,y,e,c,s,s,w,w,u,y,o,z,n,y,l
e,x,s,r,t,a,f,d,b,u,e,u,y,y,c,w,p,w,o,p,k,n,m
e,x,s,p,t,l,n,c,b,w,t,r,s,s,w,w,p,w,b,p,k,s,g
e,x,s,w,t,a,f,d,n,b,e,c,k,s,c,w,u,w,t,n,b,s,g
e,k,f,g,t,n,a,c,n,g,e,z,s,f,w,y,p,n,t,c,y,y,p
e,b,s,y,f,l,n,c,n,k,t,c,s,s,n,w,p,y,b,z,n,s,d
e,x,f,y,f,m,f,w,n,u,t,u,k,s,p,p,u,w,o,p,o,v,g
e,b,y,y,f,n,f,c,b,k,t,c,k,k,e,w,p,w,b,p,k,a,g
e,f,y,y,t,l,f,d,b,p,e,r,y,y,y,w,p,o,o,p,y,s,g
e,s,y,w,t,c,f,d,n,w,e,r,s,s,w,w,u,w,t,p,k,y,m
e,b,y,w,f,a,f,d,n,r,t,r,s,s,c,w,p,y,t,z,b,y,u
e,k,g,y,t,a,d,c,b,g,e,c,y,y,o,w,p,w,o,f,n,v,g
e,f,y,y,t,l,f,c,b,g,e,e,s,f,w,n,p,n,b,p,k,s,m
e,b,y,g,f,m,f,c,b,y,t,r,k,k,p,p,u,w,o,p,o,n,g
p,k,s,w,f,p,n,c,n,p,e,z,s,s,w,o,p,y,o,z,r,v,d
e,s,f,e,t,f,f,c,b,n,e,e,s,s,o,w,p,o,o,l,n,c,d
e,f,f,n,t,n,f,c,b,g,e,r,s,y,w,c,p,o,o,l,k,y,u
e,x,f,y,t,c,a,d,b,u,e,c,s,f,c,w,p,w,t,p,b,n,p
e,f,f,n,t,a,f,w,b,p,e,z,s,f,b,b,p,w,o,e,n,v,d
p,x,s,w,f,c,n,c,n,k,e,e,s,s,w,c,u,y,t,z,k,n,w
e,k,s,u,t,l,f,w,b,g,e,z,f,s,b,b,p,w,o,e,n,v,p
e,f,f,g,t,n,d,w,n,p,e,c,s,y,w,w,p,o,o,l,w,c,u
e,b,s,y,f,a,n,c,n,g,e,c,s,s,w,w,p,w,b,p,n,s,m
e,k,g,r,t,f,f,w,b,w,e,z,y,y,w,w,p,o,o,f,r,y,p
e,k,f,w,t,f,f,w,b,g,t,e,s,y,w,o,p,w,o,f,r,v,g
e,x,g,n,t,c,f,d,n,u,e,u,y,y,w,c,p,o,o,f,b,v,d
e,c,g,p,t,l,d,c,b,w,t,c,k,s,w,w,u,w,o,p,n,c,m
e,f,f,y,t,l,a,w,n,n,t,b,f,s,b,w,p,n,o,c,n,v,g
e,f,f,g,t,a,a,c,b,k,e,e,s,f,w,w,p,n,b,p,n,n,m
e,f,y,g,f,a,f,c,n,e,t,e,s,k,n,w,u,w,o,n,n,y,u
e,b,y,n,t,f,f,c,n,w,t,z,k,k,o,o,p,w,o,p,r,v,g
e,x,y,w,f,l,f,c,n,k,e,c,k,k,n,n,p,w,o,n,k,a,m
e,s,y,w,t,s,f,c,b,r,e,r,y,s,y,y,p,w,o,p,y,s,m
e,f,s,w,f,m,n,d,n,r,t,r,s,s,w,w,p,y,t,p,n,v,m
e,f,f,b,t,n,a,c,b,w,e,e,f,f,e,e,p,n,o,p,u,s,g
e,b,s,w,t,a,f,c,b,k,e,b,s,s,w,w,u,y,b,s,k,a,l
e,x,s,w,f,m,f,c,n,g,t,c,s,k,w,w,p,w,t,p,o,n,g
e,x,f,e,t,n,a,w,b,n,t,c,f,f,w,w,p,n,o,e,w,s,p
e,f,y,r,t,l,n,c,b,o,t,b,s,s,w,g,u,w,o,s,h,a,g
p,s,g,g,t,m,d,d,n,k,e,e,y,s,p,p,p,w,o,p,o,v,w
e,f,f,w,t,a,a,c,b,h,e,e,f,f,w,n,p,n,b,c,n,s,l
e,b,s,w,t,n,n,c,b,k,t,c,s,s,w,w,p,w,b,s,u,s,l
e,k,y,w,f,l,f,c,b,n,t,b,k,s,w,n,u,w,o,p,k,n,m
e,b,y,u,f,a,n,c,b,w,t,b,s,s,n,w,u,w,o,z,k,n,w
e,x,s,y,t,c,a,d,b,b,e,u,s,f,w,w,p,w,t,c,b,n,g
e,b,s,p,f,l,f,w,n,p,t,c,s,k,b,b,u,w,o,p,n,n,m
e,k,f,n,t,a,f,w,b,w,t,z,f,f,w,w,p,n,o,c,w,v,w
e,x,f,c,f,p,f,c,n,n,e,e,s,k,w,w,u,w,o,p,n,v,u
e,b,s,w,f,a,f,c,b,o,e,r,s,y,w,w,u,y,o,s,n,a,p
e,f,f,w,t,l,a,c,b,h,e,e,s,s,n,w,p,n,b,p,k,s,g
e,s,s,n,f,a,f,c,n,g,e,b,k,k,e,w,u,w,o,p,u,s,g
e,x,y,y,f,a,n,w,n,p,e,c,s,s,o,o,p,w,o,z,r,s,g
e,b,y,w,t,l,f,c,n,o,t,b,s,s,g,w,u,y,b,p,n,s,d
e,s,f,g,f,n,f,c,n,r,e,e,k,s,w,w,p,w,t,n,n,v,u
e,c,y,w,t,p,f,w,n,n,t,c,k,k,w,w,p,w,o,n,w,c,p
p,f,f,w,t,p,f,c,b,k,e,e,f,s,w,w,p,w,b,p,k,s,g
e,b,g,c,t,a,d,c,b,n,e,b,s,y,w,g,p,w,o,p,n,s,g
e,f,f,w,t,y,d,c,b,p,e,b,y,y,g,g,p,o,o,l,n,s,m
e,x,g,e,t,l,d,c,b,n,e,c,y,y,g,w,p,o,o,p,k,s,l
e,s,s,w,t,l,f,c,n,r,e,r,s,s,w,w,u,y,o,p,y,y,g
e,x,s,y,f,f,f,w,n,g,e,c,k,s,o,w,p,w,o,n,n,c,g
e,x,g,b,t,y,f,c,b,e,e,c,s,y,g,g,p,o,o,p,n,s,g
p,c,s,n,t,p,f,c,n,n,t,c,s,s,w,w,p,y,o,z,w,v,u
